case_id,year,region,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1,copy_case_id,Notes
p01,2025,CANO,,,,,,,,,,,,,,,,,1,84.7,,Set to 10% of national CO2 limit
p01,2025,CASO,,,,,,,,,,,,,,,,,1,,,
p01,2025,SRSG,,,,,,,,,,,,,,,,,1,,,
p01,2030,CANO,,,,,,,,,,,,,,,,,1,18.6,,Set to 10% of national CO2 limit
p01,2030,CASO,,,,,,,,,,,,,,,,,1,,,
p01,2030,SRSG,,,,,,,,,,,,,,,,,1,,,
p01,2035,CANO,,,,,,,,,,,,,,,,,1,13,,Set to 10% of national CO2 limit
p01,2035,CASO,,,,,,,,,,,,,,,,,1,,,
p01,2035,SRSG,,,,,,,,,,,,,,,,,1,,,
p01,2040,CANO,,,,,,,,,,,,,,,,,1,13.5,,Set to 10% of national CO2 limit
p01,2040,CASO,,,,,,,,,,,,,,,,,1,,,
p01,2040,SRSG,,,,,,,,,,,,,,,,,1,,,
p01,2045,CANO,,,,,,,,,,,,,,,,,1,11.3,,Set to 10% of national CO2 limit
p01,2045,CASO,,,,,,,,,,,,,,,,,1,,,
p01,2045,SRSG,,,,,,,,,,,,,,,,,1,,,
p01,2050,CANO,,,,,,,,,,,,,,,,,1,9,,Set to 10% of national CO2 limit
p01,2050,CASO,,,,,,,,,,,,,,,,,1,,,
p01,2050,SRSG,,,,,,,,,,,,,,,,,1,,,
p02,2025,CANO,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
p02,2025,CASO,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
p02,2025,SRSG,0.1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
p02,2030,CANO,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
p02,2030,CASO,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
p02,2030,SRSG,0.2104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
p02,2035,CANO,0.6,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,,
p02,2035,CASO,0.6,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,,
p02,2035,SRSG,0.2204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
p02,2040,CANO,0.6,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,,
p02,2040,CASO,0.6,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,,
p02,2040,SRSG,0.2832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
p02,2045,CANO,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
p02,2045,CASO,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
p02,2045,SRSG,0.2944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
p02,2050,CANO,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
p02,2050,CASO,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
p02,2050,SRSG,0.3117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
