region,technology,cluster,spur_miles,max_capacity
WEC_BANC,NaturalGas_CCCCS,,20,-1
WEC_BANC,NaturalGas_CCAvgCF,,0,-1
WEC_BANC,NaturalGas_CT,,0,-1
WEC_BANC,Battery,,0,-1
WEC_BANC,Nuclear,,50,-1
WEC_BANC,NaturalGas_CCS100,,20,-1
WEC_CALN,NaturalGas_CCCCS,,20,-1
WEC_CALN,NaturalGas_CCAvgCF,,0,-1
WEC_CALN,NaturalGas_CT,,0,-1
WEC_CALN,Battery,,0,-1
WEC_CALN,Nuclear,,50,-1
WEC_CALN,NaturalGas_CCS100,,20,-1
WEC_LADW,NaturalGas_CCCCS,,20,-1
WEC_LADW,NaturalGas_CCAvgCF,,0,-1
WEC_LADW,NaturalGas_CT,,0,-1
WEC_LADW,Battery,,0,-1
WEC_LADW,Nuclear,,50,-1
WEC_LADW,NaturalGas_CCS100,,20,-1
