BALANCING_AREAS,quickstart_res_load_frac,quickstart_res_wind_frac,quickstart_res_solar_frac,spinning_res_load_frac,spinning_res_wind_frac,spinning_res_solar_frac
FPL,0.03,0.05,0.05,.,.,.
JEA,0.03,0.05,0.05,.,.,.
FPC,0.03,0.05,0.05,.,.,.
TEC,0.03,0.05,0.05,.,.,.
GVL,0.03,0.05,0.05,.,.,.
SEC,0.03,0.05,0.05,.,.,.
FMPP,0.03,0.05,0.05,.,.,.
TAL,0.03,0.05,0.05,.,.,.
MISO,0.03,0.05,0.05,.,.,.
SWPP,0.03,0.05,0.05,.,.,.
TVA,0.03,0.05,0.05,.,.,.
SOCO,0.03,0.05,0.05,.,.,.
PJM,0.03,0.05,0.05,.,.,.
OVEC,0.03,0.05,0.05,.,.,.
NWMT,0.03,0.05,0.05,.,.,.
WACM,0.03,0.05,0.05,.,.,.
,0.03,0.05,0.05,.,.,.
AECI,0.03,0.05,0.05,.,.,.
ISNE,0.03,0.05,0.05,.,.,.
NBSO,0.03,0.05,0.05,.,.,.
NYIS,0.03,0.05,0.05,.,.,.
DUK,0.03,0.05,0.05,.,.,.
LGEE,0.03,0.05,0.05,.,.,.
SPA,0.03,0.05,0.05,.,.,.
PNM,0.03,0.05,0.05,.,.,.
ERCO,0.03,0.05,0.05,.,.,.
GRIS,0.03,0.05,0.05,.,.,.
EPE,0.03,0.05,0.05,.,.,.
WAUW,0.03,0.05,0.05,.,.,.
EEI,0.03,0.05,0.05,.,.,.
CPLE,0.03,0.05,0.05,.,.,.
AEC,0.03,0.05,0.05,.,.,.
SEPA,0.03,0.05,0.05,.,.,.
SCEG,0.03,0.05,0.05,.,.,.
SC,0.03,0.05,0.05,.,.,.
YAD,0.03,0.05,0.05,.,.,.
CPLW,0.03,0.05,0.05,.,.,.
