GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
1,1981,0.0,0,.
2,1988,0.0,0,.
3,1982,0.0,0,.
5,1993,0.0,0,.
6,1989,0.0,0,.
8,2004,0.0,0,.
9,1989,0.0,0,.
10,1990,0.0,0,.
11,1991,0.0,0,.
12,1987,0.0,0,.
13,1985,0.0,0,.
14,1983,0.0,0,.
15,1986,0.0,0,.
16,1991,0.0,0,.
17,1994,0.0,0,.
18,2007,0.0,0,.
19,1986,0.0,0,.
20,1986,0.0,0,.
21,1986,0.0,0,.
22,1989,0.0,0,.
23,1989,0.0,0,.
24,2013,0.0,0,.
25,2013,0.0,0,.
26,2015,0.0,0,.
27,2015,0.0,0,.
28,2014,0.0,0,.
29,2014,0.0,0,.
30,2014,0.0,0,.
31,2014,0.0,0,.
32,1996,0.0,0,.
33,2008,0.0,0,.
34,2008,0.0,0,.
35,2008,0.0,0,.
36,2008,0.0,0,.
37,2008,0.0,0,.
38,2008,0.0,0,.
39,2009,0.0,0,.
40,2009,0.0,0,.
41,2010,0.0,0,.
42,2010,0.0,0,.
43,2011,0.0,0,.
44,2011,0.0,0,.
45,2011,0.0,0,.
46,2011,0.0,0,.
47,2011,0.0,0,.
48,2013,0.0,0,.
49,2015,0.0,0,.
50,2023,0.0,0,.
51,2013,0.0,0,.
52,2011,0.0,0,.
53,2011,0.0,0,.
54,2015,0.0,0,.
55,2015,0.0,0,.
56,2015,0.0,0,.
57,2019,0.0,0,.
58,2017,0.0,0,.
59,2017,0.0,0,.
60,2017,0.0,0,.
61,2017,0.0,0,.
62,2017,0.0,0,.
63,2017,0.0,0,.
64,2017,0.0,0,.
65,2008,0.0,0,.
66,2008,0.0,0,.
67,2008,0.0,0,.
68,2008,0.0,0,.
69,2008,0.0,0,.
70,2008,0.0,0,.
71,2010,0.0,0,.
72,2007,0.0,0,.
73,2007,0.0,0,.
74,2007,0.0,0,.
75,2003,0.0,0,.
76,2002,0.0,0,.
77,2001,0.0,0,.
78,1984,0.0,0,.
79,1984,0.0,0,.
80,1987,0.0,0,.
81,1996,0.0,0,.
82,1984,0.0,0,.
83,1982,0.0,0,.
84,1973,0.0,0,.
85,1985,0.0,0,.
86,1981,0.0,0,.
87,1966,0.0,0,.
88,1972,0.0,0,.
89,2022,0.0,0,.
90,2022,0.0,0,.
91,2022,0.0,0,.
92,2010,0.0,0,.
93,2013,0.0,0,.
94,2000,0.0,0,.
95,2022,0.0,0,.
96,2022,0.0,0,.
97,2022,0.0,0,.
98,2016,0.0,0,.
99,2014,0.0,0,.
100,1969,0.0,0,.
101,1974,0.0,0,.
102,2007,0.0,0,.
103,2018,0.0,0,.
104,2018,0.0,0,.
105,2009,0.0,0,.
106,2001,0.0,0,.
107,2021,0.0,0,.
108,1978,0.0,0,.
110,2001,0.0,0,.
111,1977,0.0,0,.
112,2000,0.0,0,.
113,2005,0.0,0,.
114,2005,0.0,0,.
115,1994,0.0,0,.
116,1994,0.0,0,.
117,2002,0.0,0,.
118,1995,0.0,0,.
119,2011,0.0,0,.
120,2000,0.0,0,.
121,1989,0.0,0,.
122,1999,0.0,0,.
123,2003,0.0,0,.
124,2005,0.0,0,.
125,2007,0.0,0,.
126,2002,0.0,0,.
127,1997,0.0,0,.
128,2001,0.0,0,.
129,2003,0.0,0,.
130,2004,0.0,0,.
